geo_description,year,estimate,moe,se,cv,type,subtype
Buncombe,2018,0.3131163812218867,0.071497711749691,0.036478424362087244,11.650116873392577,Age,Under 18
Burke,2018,0.3113464118649599,0.046084949773798525,0.02351272947642782,7.551951325080945,Age,18+
Burke,2018,0.39848626716604246,0.10656754805934991,0.05437119798946424,13.644434568885327,Age,Under 18
Cabarrus,2018,0.24344438460904033,0.0313284842473132,0.01598392053434347,6.565738026782938,Age,18+
Cabarrus,2018,0.28877890226785846,0.058160555301839674,0.02967375270502024,10.275595783481506,Age,Under 18
Camden,2018,0.2896927533734667,0.036046368876207484,0.01839100452867729,6.3484517008155645,Age,18+
Camden,2018,0.27147397695669445,0.08365523537589548,0.04268124253872218,15.722038265763755,Age,Under 18
Caswell,2018,0.2869591681460817,0.04203037335111937,0.021444068036285395,7.472863883327439,Age,18+
Caswell,2018,0.49448105436573314,0.13391749929631347,0.06832525474301708,13.817567759124227,Age,Under 18
Catawba,2018,0.25790626862786165,0.038643575109518824,0.019716109749754504,7.644680315313813,Age,18+
Catawba,2018,0.3111404844688371,0.07380746604964715,0.037656870433493445,12.102851384891073,Age,Under 18
Chatham,2018,0.2850374183707517,0.03432320151106687,0.01751183750564636,6.143697766329225,Age,18+
Chatham,2018,0.4499411467967042,0.09528314434161861,0.04861384915388704,10.804490653941484,Age,Under 18
Cherokee,2018,0.3670691783395052,0.054830779590009905,0.02797488754592342,7.621148599964781,Age,18+
Cherokee,2018,0.40131578947368424,0.13015879832042668,0.066407550163483,16.547455122703962,Age,Under 18
Cleveland,2018,0.287840354933216,0.0321485047726123,0.016402298353373625,5.698401239527113,Age,18+
Cleveland,2018,0.3525374815231928,0.06131340275446365,0.03128234834411411,8.873481539878789,Age,Under 18
Craven,2018,0.3008001395882148,0.04829758151387143,0.024641623221362974,8.192025194900681,Age,18+
Craven,2018,0.4453903124201924,0.14265171746913988,0.0727814885046632,16.341057826152113,Age,Under 18
Cumberland,2018,0.3135138793237288,0.02397100287993983,0.012230103510173384,3.900976740345456,Age,18+
Cumberland,2018,0.43621183496861476,0.0544238561014297,0.0277672735211376,6.365547950604193,Age,Under 18
Davidson,2018,0.3096235921297937,0.04549226852604969,0.02321034108471923,7.496308961814995,Age,18+
Davidson,2018,0.39743695062844,0.08940450493253141,0.04561454333292419,11.477177263160112,Age,Under 18
Davie,2018,0.29560013584887984,0.04809533574363159,0.024538436603893668,8.301226429895314,Age,18+
Davie,2018,0.37205843758201385,0.09237624666718508,0.04713073809550259,12.667563300486481,Age,Under 18
Duplin,2018,0.3524494909110294,0.04974090434833815,0.025378012422621506,7.20046789031334,Age,18+
Duplin,2018,0.49877183406113534,0.113521666904025,0.05791921780817602,11.61236738983075,Age,Under 18
Durham,2018,0.3072974065822544,0.02685429080250619,0.013701168776788872,4.458602150005935,Age,18+
Durham,2018,0.42158595678542043,0.07151009958617452,0.036484744686823736,8.654165087712778,Age,Under 18
Edgecombe,2018,0.30228631604598744,0.04405111909122411,0.022475060760828627,7.435024203149656,Age,18+
Edgecombe,2018,0.41512437189850504,0.09789173874949801,0.04994476466811123,12.031277383136246,Age,Under 18
Forsyth,2018,0.31015047842324783,0.02843853129616953,0.014509454742943637,4.678198407659156,Age,18+
Forsyth,2018,0.46208762738211756,0.061585416441713683,0.03142113083760902,6.799820851213943,Age,Under 18
Franklin,2018,0.34865543580621533,0.050231738985865824,0.02562843825809481,7.35064927320945,Age,18+
Franklin,2018,0.4545907296076269,0.09979054593808544,0.05091354384596196,11.199864082117823,Age,Under 18
Gaston,2018,0.3175518700832682,0.03587177384516558,0.018301925431206928,5.763444386710055,Age,18+
Gaston,2018,0.3922694753577107,0.08139334349958437,0.04152721607121652,10.586400084622397,Age,Under 18
Graham,2018,0.36225188599256475,0.04548036524673033,0.02320426798302568,6.4055616769106205,Age,18+
Graham,2018,0.4057104617443676,0.1283433382313346,0.06548129501598704,16.139907936918295,Age,Under 18
Greene,2018,0.3528308772636321,0.04666502560931896,0.02380868653536682,6.747903335449062,Age,18+
Greene,2018,0.48993798253385645,0.12131044585820962,0.06189308462153552,12.632840650859006,Age,Under 18
Guilford,2018,0.3204660192315518,0.022352011103506517,0.011404087297707408,3.5585948628979027,Age,18+
Guilford,2018,0.3834653407134278,0.05803551487043583,0.029609956566548894,7.721677404132614,Age,Under 18
Halifax,2018,0.43528443874464634,0.050548700124292245,0.0257901531246389,5.924896648962988,Age,18+
Halifax,2018,0.5058594723981449,0.10758584022680627,0.05489073480959504,10.850984869250881,Age,Under 18
Harnett,2018,0.28944926366754087,0.04064953652459157,0.02073955945132223,7.165179551171194,Age,18+
Harnett,2018,0.2767806104950269,0.07650978976951826,0.03903560702526442,14.103447114828082,Age,Under 18
Henderson,2018,0.2945587387040954,0.03806727058579316,0.019422076829486306,6.593617597268817,Age,18+
Henderson,2018,0.33998097189695553,0.09597287940100221,0.0489657547964297,14.402498623149615,Age,Under 18
Hoke,2018,0.3581723070353368,0.033515068338679156,0.017099524662591407,4.774105738136921,Age,18+
Hoke,2018,0.46069392211573457,0.08634476893146611,0.044053453536462304,9.562412574089764,Age,Under 18
Iredell,2018,0.19863149458371754,0.030314758340695067,0.015466713439130137,7.78663699407012,Age,18+
Iredell,2018,0.2456186089626604,0.051495759507743474,0.02627334668762422,10.696806238984264,Age,Under 18
Johnston,2018,0.3032618258551461,0.050939743522818326,0.025989665062662412,8.570041741777434,Age,18+
Johnston,2018,0.4110775895412702,0.07627323875914502,0.03891491773425766,9.466562693841716,Age,Under 18
Jones,2018,0.2980919147672433,0.05329127220293504,0.027189424593334205,9.12115466619224,Age,18+
Jones,2018,0.49621041419148676,0.11114021538707913,0.05670419152401997,11.427448901170767,Age,Under 18
Mecklenburg,2018,0.2566557998112913,0.015734729866042303,0.008027923401041992,3.127894794095673,Age,18+
Mecklenburg,2018,0.35900013194967284,0.03410660205862544,0.017401327580931346,4.847164675519057,Age,Under 18
Montgomery,2018,0.24652262519538592,0.04895519625866443,0.024977140948298178,10.131784426886618,Age,18+
Montgomery,2018,0.22190749650783798,0.09534854606109242,0.04864721737810838,21.922295615817607,Age,Under 18
New Hanover,2018,0.30486406401714267,0.03298228912949558,0.016827698535456927,5.519738310157375,Age,18+
New Hanover,2018,0.38035551910424875,0.06206297922165169,0.03166478531716923,8.32504951991783,Age,Under 18
North Carolina,2018,0.29132959661654323,0.0047683702141214125,0.0024328419459803126,0.8350823171538223,Age,18+
North Carolina,2018,0.3659844147887189,0.010814409942999979,0.005517556093367336,1.5075931844126738,Age,Under 18
Onslow,2018,0.2992487753558865,0.049741482153295116,0.025378307221068937,8.480672039806134,Age,18+
Onslow,2018,0.38291559303505895,0.10797746530640101,0.055090543523673985,14.387124610678889,Age,Under 18
Orange,2018,0.3125168531751382,0.0358632222644228,0.018297562379807553,5.8549042056152345,Age,18+
Orange,2018,0.20056222669535642,0.09526509836865428,0.04860464202482361,24.234195454287377,Age,Under 18
Pitt,2018,0.3999943952864359,0.041803204957821694,0.021328165794806987,5.332116161161181,Age,18+
Pitt,2018,0.4323130407507123,0.10058939707912665,0.05132112095873809,11.871286804029523,Age,Under 18
Randolph,2018,0.33410409825003373,0.05279088597263797,0.026934125496243865,8.061596860774559,Age,18+
Randolph,2018,0.40908667143167904,0.09644780213564538,0.04920806231410479,12.028762057167867,Age,Under 18
Robeson,2018,0.453214746872078,0.03717167354678101,0.01896513956468419,4.184581304023011,Age,18+
Robeson,2018,0.5932661753769184,0.08267367849633256,0.042180448212414574,7.109869054243008,Age,Under 18
Rockingham,2018,0.30560811737282323,0.05364226983578443,0.027368505018257362,8.955424762120916,Age,18+
Rockingham,2018,0.4243974786800148,0.09754755020700116,0.04976915826887814,11.727015538281002,Age,Under 18
Rowan,2018,0.2841549870360633,0.04612595688818171,0.0235336514735621,8.281977282550859,Age,18+
Rowan,2018,0.34700285442435774,0.13701968461595526,0.06990800235507921,20.14623265017501,Age,Under 18
Union,2018,0.08906966629764353,0.02662823645816035,0.013585834927632831,15.253043479733194,Age,18+
Union,2018,0.09377736568278988,0.051675313853874395,0.0263649560478951,28.11441316988671,Age,Under 18
