year,fmr1,fmr2,fmr3,fmr4,countyname
2010,612,679,969,1035,Rowan
2010,542,662,792,816,Rutherford
2010,499,588,817,1035,Sampson
2010,493,625,759,946,Scotland
2010,500,611,832,906,Stanly
2010,577,669,912,1072,Stokes
2010,529,588,786,808,Surry
2010,490,588,771,898,Swain
2010,698,773,976,1029,Transylvania
2010,573,677,914,937,Tyrrell
2010,726,806,1016,1182,Union
2010,493,593,710,732,Vance
2010,770,856,1076,1115,Wake
2010,506,607,742,763,Warren
2010,560,638,766,786,Washington
2010,604,760,924,1193,Watauga
2010,531,622,779,1041,Wayne
2010,493,588,754,786,Wilkes
2010,562,682,816,865,Wilson
2010,577,669,912,1072,Yadkin
2010,489,588,702,723,Yancey
2009,637,742,1008,1038,Alamance
2009,534,614,788,917,Alexander
2009,504,577,757,780,Alleghany
2009,516,577,811,856,Anson
2009,479,577,763,902,Ashe
2009,547,647,774,914,Avery
2009,490,577,695,714,Beaufort
2009,501,577,691,712,Bertie
2009,455,577,841,908,Bladen
