"","SERIALNO","SPORDER","year","total_taxes"
"981",29466,1,2011,0
"982",29477,1,2011,985
"983",29516,1,2011,22075
"984",29534,1,2011,19079
"985",29639,1,2011,0
"986",29706,1,2011,8322
"987",29717,1,2011,12507
"988",29731,1,2011,-3779
"989",29803,1,2011,4276
"990",29815,1,2011,2149
"991",29816,1,2011,0
"992",29879,1,2011,20915
"993",29946,1,2011,14004
"994",29967,1,2011,6720
"995",29984,1,2011,0
"996",30115,2,2011,6404
"997",30115,3,2011,619
"998",30115,1,2011,0
"999",30155,1,2011,5373
"1000",30304,1,2011,5659
"1001",30309,1,2011,16414
"1002",30356,1,2011,17442
"1003",30390,1,2011,3123
"1004",30446,1,2011,138834
"1005",30514,1,2011,41450
"1006",30558,1,2011,0
"1007",30562,1,2011,0
"1008",30602,1,2011,0
"1009",30620,2,2011,1611
"1010",30620,1,2011,0
"1011",30627,1,2011,16041
